Date,Unemployment_Rate_Seasonally_Adjusted,Unemployment_Rate_Trend_Cycle
2006-01-01,3.216324201933,3.207110490138
2006-02-01,3.524913439605,3.254173699031
2006-03-01,3.339511001086,3.318252810545
2006-04-01,3.381793852788,3.391737690218
2006-05-01,3.150846280388,3.46534817769
2006-06-01,3.511803889918,3.532498574629
2006-07-01,3.657973505733,3.592170539924
2006-08-01,3.613550571473,3.641609066658
2006-09-01,3.708779315478,3.681015149533
2006-10-01,3.665680339881,3.715046064208
2006-11-01,3.745697685928,3.747749433396
2006-12-01,3.792438148057,3.774999328402
2007-01-01,3.750762010972,3.788069729599
2007-02-01,3.817507633633,3.775424033939
2007-03-01,3.805653229119,3.735076986305
2007-04-01,3.685994449506,3.674378079218
2007-05-01,3.473631469437,3.608178863384
2007-06-01,3.550631440218,3.555719967935
2007-07-01,3.474508542178,3.524157991603
2007-08-01,3.574682727783,3.515440844697
2007-09-01,3.480766066325,3.524792782834
2007-10-01,3.610997704783,3.547126585706
2007-11-01,3.562867731121,3.578069405762
2007-12-01,3.532174819574,3.612111394411
2008-01-01,3.839399353463,3.639049192329
2008-02-01,3.679797166206,3.654032612841
2008-03-01,3.769366593081,3.660014154552
2008-04-01,3.615061239081,3.663102930899
2008-05-01,3.586670993293,3.671554331721
2008-06-01,3.631345996664,3.688939054729
2008-07-01,3.822167780018,3.724029964356
2008-08-01,3.777750134993,3.772457030887
2008-09-01,3.822609109677,3.826606225987
2008-10-01,3.989251019916,4.048173672106
2008-11-01,4.555225822701,4.265419992148
2008-12-01,4.558076786054,4.483044380716
2009-01-01,4.62938652533,4.701400566647
2009-02-01,5.023976880027,4.912584886147
2009-03-01,4.982218145412,5.109162226312
2009-04-01,5.332862793578,5.304034558988
2009-05-01,5.631451302807,5.514261833554
2009-06-01,5.449758831946,5.747958865486
2009-07-01,5.627802437337,5.73311554824
2009-08-01,5.749989793754,5.706680380545
2009-09-01,5.868398993782,5.663355972002
2009-10-01,5.623185393181,5.590781420603
2009-11-01,5.407592475512,5.503416154533
2009-12-01,5.295849235867,5.416239322424
2010-01-01,5.508290919661,5.344378971821
2010-02-01,5.205036106564,5.307120246281
2010-03-01,5.19159290803,5.296491295974
2010-04-01,5.46663460049,5.286622242522
2010-05-01,5.272688154349,5.26618439114
2010-06-01,5.185542165131,5.242009791906
2010-07-01,5.33337870316,5.237128085916
2010-08-01,4.980837353536,5.255543681819
2010-09-01,5.199192111247,5.290720143841
2010-10-01,5.445485281556,5.329223149247
2010-11-01,5.382546191077,5.341716957235
2010-12-01,5.514773325968,5.310056734082
2011-01-01,5.103606300314,5.257909114363
2011-02-01,5.240907525587,5.213692620187
2011-03-01,4.992908440219,5.201996457201
2011-04-01,5.169914673178,5.239492957522
2011-05-01,5.374582513684,5.300733209685
2011-06-01,5.57568177119,5.345838800707
2011-07-01,5.283900297229,5.346223947907
2011-08-01,5.353000198674,5.292162021183
2011-09-01,5.235725746089,5.207971230999
2011-10-01,4.826631690582,5.127233401724
2011-11-01,5.094791974136,5.079412966101
2011-12-01,5.024527987417,5.063552056263
2012-01-01,4.664272769316,5.06240603491
2012-02-01,5.344509888955,5.050019998748
2012-03-01,5.128244437167,5.021101034854
2012-04-01,4.892072150534,4.969478998783
2012-05-01,4.88144248125,4.900944898389
2012-06-01,4.854570027993,4.841234932278
2012-07-01,4.731849404515,4.805271722745
2012-08-01,4.948525211101,4.81070754854
2012-09-01,4.673220610344,4.850551655216
2012-10-01,4.853001875148,4.904431318737
2012-11-01,5.238369812766,4.959708380663
2012-12-01,4.951463355029,5.006206983084
2013-01-01,5.153074927291,5.037889793829
2013-02-01,4.883835372178,5.054610020916
2013-03-01,5.064181819922,5.05386341545
2013-04-01,5.123951971639,5.037535769799
2013-05-01,4.97034108497,5.021749889469
2013-06-01,5.077655877774,5.000136841987
2013-07-01,4.905555902293,4.961568367429
2013-08-01,4.829267848697,4.914229389904
2013-09-01,4.989384891803,4.862807770603
2013-10-01,4.892231820018,4.822488278407
2013-11-01,4.636185759439,4.796890291141
2013-12-01,4.746440431016,4.793476692984
2014-01-01,4.901744743701,4.811974175253
2014-02-01,4.777438661479,4.843991695714
2014-03-01,5.301189121618,4.882242754323
2014-04-01,4.918435619377,4.913982008461
2014-05-01,4.961567787047,4.922825689048
2014-06-01,4.832231263959,4.910563869968
2014-07-01,5.221452772378,4.883465054861
2014-08-01,4.844807705021,4.835884180338
