Date,Unemployment_Rate_Total
2022-01-01,3.57216972496
2022-02-01,3.914207332301
2022-03-01,3.456406120037
2022-04-01,3.056182309199
2022-05-01,3.312123173131
2022-06-01,3.324912316485
2022-07-01,3.161718212643
2022-08-01,3.262696580695
2022-09-01,3.140028390662
2022-10-01,3.207659365754
2022-11-01,2.95036165404
2022-12-01,2.937935754297
2022-01-01,2.892227266702
2022-02-01,2.863340691148
2022-03-01,2.802244453241
2022-04-01,2.854679675987
2022-05-01,2.959989632262
2022-06-01,2.620073652731
2022-07-01,2.874054440478
2022-08-01,2.722729512412
2022-09-01,2.712313130326
2022-10-01,2.666525554644
2022-11-01,2.806800313387
2022-12-01,2.781301241453
2022-01-01,2.752230896004
2022-02-01,2.596187979325
2022-03-01,2.676820431187
2022-04-01,2.650183506458
2022-05-01,2.636678073225
2022-06-01,2.735256405872
